Horizon started successfully.
[2020-10-07 15:28:46][69] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:46][79] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:47][75] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:47][81] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:47][73] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:47][85] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:47][71] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:47][83] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:49][79] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:49][89] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:49][77] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:49][87] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:51][81] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:51][93] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:51][83] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:51][91] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:51][85] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:51][97] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:53][87] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:53][95] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:53][89] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:53][99] Processing: App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:55][93] Failed:     App\Jobs\ReadHotspot\HotspotModis
[2020-10-07 15:28:55][101] Processing: App\Jobs\ReadHotspot\HotspotModis
